receipt number,PD,notice date,days,month
LIN2090020564,2019-10-09,2020-04-16,190,20-Apr
LIN2090073548,2019-11-12,2020-04-16,156,20-Apr
LIN2090028005,2019-10-14,2020-04-16,185,20-Apr
LIN1990714500,2019-09-23,2020-04-16,206,20-Apr
LIN2090103142,2019-11-29,2020-04-16,139,20-Apr
LIN2090012522,2019-10-04,2020-04-16,195,20-Apr
LIN2090039068,2019-10-21,2020-04-16,178,20-Apr
LIN2090103215,2019-11-29,2020-04-16,139,20-Apr
LIN1990582091,2019-07-15,2020-04-16,276,20-Apr
LIN1990576346,2019-07-11,2020-04-16,280,20-Apr
LIN2090092288,2019-11-21,2020-04-16,147,20-Apr
LIN2090090628,2019-11-21,2020-04-16,147,20-Apr
LIN2090092232,2019-11-21,2020-04-16,147,20-Apr
LIN2090092285,2019-11-21,2020-04-16,147,20-Apr
LIN2090045319,2019-10-23,2020-04-16,176,20-Apr
LIN2090067581,2019-11-06,2020-04-17,163,20-Apr
LIN2090039123,2019-10-21,2020-04-17,179,20-Apr
LIN2090045328,2019-10-23,2020-04-17,177,20-Apr
LIN2090087388,2019-11-19,2020-04-17,150,20-Apr
LIN2090089477,2019-11-20,2020-04-17,149,20-Apr
LIN2090087311,2019-11-19,2020-04-17,150,20-Apr
LIN2090083356,2019-11-15,2020-04-17,154,20-Apr
LIN2090053774,2019-10-28,2020-04-20,175,20-Apr
LIN2090038117,2019-10-18,2020-04-20,185,20-Apr
LIN2090036549,2019-10-18,2020-04-20,185,20-Apr
LIN2090103216,2019-11-29,2020-04-20,143,20-Apr
LIN2090101588,2019-11-29,2020-04-20,143,20-Apr
LIN2090092233,2019-11-21,2020-04-20,151,20-Apr
LIN2090067231,2019-11-06,2020-04-20,166,20-Apr
LIN2090069458,2019-11-07,2020-04-20,165,20-Apr
LIN2090076938,2019-11-12,2020-04-20,160,20-Apr
LIN1990644699,2019-08-13,2020-04-21,252,20-Apr
LIN2090009680,2019-10-02,2020-04-21,202,20-Apr
LIN2090024481,2019-10-11,2020-04-21,193,20-Apr
LIN2090208470,2020-02-10,2020-04-21,71,20-Apr
LIN2090103214,2019-11-29,2020-04-21,144,20-Apr
LIN2090103144,2019-11-29,2020-04-21,144,20-Apr
LIN2090035462,2019-10-17,2020-04-21,187,20-Apr
LIN1990596134,2019-07-22,2020-04-21,274,20-Apr
LIN2090067229,2019-11-06,2020-04-21,167,20-Apr
LIN2090103143,2019-11-29,2020-04-21,144,20-Apr
LIN1990564452,2019-07-03,2020-04-22,294,20-Apr
LIN2090087309,2019-11-19,2020-04-22,155,20-Apr
LIN2090087387,2019-11-19,2020-04-22,155,20-Apr
LIN1990702804,2019-09-16,2020-04-22,219,20-Apr
LIN2090078738,2019-11-12,2020-04-22,162,20-Apr
LIN2090078513,2019-11-12,2020-04-22,162,20-Apr
LIN2090067582,2019-11-06,2020-04-22,168,20-Apr
LIN2090027820,2019-10-14,2020-04-22,191,20-Apr
LIN1990702802,2019-09-16,2020-04-22,219,20-Apr
LIN1990698055,2019-09-13,2020-04-22,222,20-Apr
LIN2090063280,2019-11-04,2020-04-22,170,20-Apr
LIN2090039145,2019-10-21,2020-04-22,184,20-Apr
LIN2090039127,2019-10-21,2020-04-22,184,20-Apr
LIN1990702800,2019-09-16,2020-04-22,219,20-Apr
LIN1990630859,2019-08-05,2020-04-23,262,20-Apr
LIN1990642265,2019-07-29,2020-04-23,269,20-Apr
LIN2090095686,2019-11-25,2020-04-23,150,20-Apr
LIN2090094716,2019-11-25,2020-04-23,150,20-Apr
LIN2090094715,2019-11-25,2020-04-23,150,20-Apr
LIN2090050313,2019-10-25,2020-04-23,181,20-Apr
LIN2090081972,2019-11-14,2020-04-23,161,20-Apr
LIN2090050314,2019-10-25,2020-04-23,181,20-Apr
LIN2090087588,2019-11-19,2020-04-23,156,20-Apr
LIN2090049957,2019-10-25,2020-04-24,182,20-Apr
LIN2090049953,2019-10-25,2020-04-24,182,20-Apr
LIN2090027999,2019-10-14,2020-04-24,193,20-Apr
LIN2090026932,2019-10-14,2020-04-24,193,20-Apr
LIN2090050209,2019-10-25,2020-04-24,182,20-Apr
LIN2090053772,2019-10-28,2020-04-24,179,20-Apr
LIN2090053773,2019-10-28,2020-04-24,179,20-Apr
LIN2090054217,2019-10-25,2020-04-27,185,20-Apr
LIN2090073619,2019-11-12,2020-04-27,167,20-Apr
LIN2090049962,2019-10-25,2020-04-27,185,20-Apr
LIN1990602386,2019-07-24,2020-04-27,278,20-Apr
LIN2090087390,2019-11-19,2020-04-27,160,20-Apr
LIN1990597207,2019-07-22,2020-04-27,280,20-Apr
LIN2090049954,2019-10-25,2020-04-28,186,20-Apr
LIN2090087587,2019-11-19,2020-04-28,161,20-Apr
LIN2090125168,2019-12-16,2020-05-18,154,20-May
LIN2090125169,2019-12-16,2020-05-18,154,20-May
LIN2090087254,2019-11-19,2020-05-18,181,20-May
LIN2090134376,2019-12-20,2020-05-19,151,20-May
LIN2090134292,2019-12-20,2020-05-19,151,20-May
LIN2090125139,2019-12-16,2020-05-19,155,20-May
LIN2090136310,2019-12-23,2020-05-19,148,20-May
LIN2090136306,2019-12-23,2020-05-19,148,20-May
LIN1990615379,2019-07-29,2020-05-19,295,20-May
LIN2090134290,2019-12-20,2020-05-20,152,20-May
LIN2090134293,2019-12-20,2020-05-20,152,20-May
LIN2090148132,2019-12-31,2020-05-20,141,20-May
LIN2090124715,2019-12-16,2020-05-20,156,20-May
LIN2090148131,2019-12-31,2020-05-20,141,20-May
LIN1990615893,2019-07-29,2020-05-20,296,20-May
LIN1990647176,2019-08-15,2020-05-20,279,20-May
LIN2090140913,2019-12-26,2020-05-20,146,20-May
LIN2090136304,2019-12-23,2020-05-20,149,20-May
LIN2090140912,2019-12-26,2020-05-20,146,20-May
LIN2090005316,2019-09-30,2020-05-21,234,20-May
LIN1990616146,2019-07-29,2020-05-21,297,20-May
LIN2090146008,2019-12-30,2020-05-21,143,20-May
LIN2090133093,2019-12-20,2020-05-21,153,20-May
LIN2090136655,2019-12-23,2020-05-21,150,20-May
LIN2090148133,2019-12-31,2020-05-21,142,20-May
LIN2090140910,2019-12-26,2020-05-22,148,20-May
LIN2090119571,2019-12-12,2020-05-23,163,20-May
LIN2090119566,2019-12-12,2020-05-23,163,20-May
LIN2090134375,2019-12-20,2020-05-26,158,20-May
LIN1990588028,2019-07-17,2020-05-26,314,20-May
LIN2090125170,2019-12-16,2020-05-26,162,20-May
LIN2090122363,2019-12-13,2020-05-26,165,20-May
LIN2090122321,2019-12-13,2020-05-26,165,20-May
LIN2090123747,2019-12-13,2020-05-26,165,20-May
LIN2090122492,2019-12-13,2020-05-26,165,20-May
LIN2090134189,2019-12-20,2020-05-26,158,20-May
LIN2090122312,2019-12-13,2020-05-26,165,20-May
LIN2090151351,2020-01-03,2020-05-26,144,20-May
LIN2090151664,2020-01-03,2020-05-26,144,20-May
LIN2090158692,2020-01-09,2020-05-26,138,20-May
LIN2090158684,2020-01-09,2020-05-26,138,20-May
LIN2090151358,2020-01-03,2020-05-26,144,20-May
LIN2090158693,2020-01-09,2020-05-26,138,20-May
LIN2090151668,2020-01-03,2020-05-27,145,20-May
LIN2090063943,2019-11-04,2020-05-27,205,20-May
LIN2090158688,2020-01-09,2020-05-27,139,20-May
LIN2090157555,2020-01-08,2020-05-27,140,20-May
LIN2090152033,2020-01-03,2020-05-27,145,20-May
LIN2090067579,2019-11-06,2020-05-27,203,20-May
LIN2090151365,2020-01-03,2020-05-27,145,20-May
LIN2090151357,2020-01-03,2020-05-27,145,20-May
LIN1990593308,2019-07-19,2020-05-27,313,20-May
LIN2090131075,2019-12-19,2020-05-27,160,20-May
LIN2090151367,2020-01-03,2020-05-27,145,20-May
LIN2090134275,2019-12-20,2020-05-27,159,20-May
LIN2090151359,2020-01-03,2020-05-27,145,20-May
