receipt number,PD,notice date,days,month
src2190231820,2021-05-13 00:00:00,2022-01-04 00:00:00,236,22-Jan
src2190152119,2020-12-29 00:00:00,2022-01-04 00:00:00,371,22-Jan
src2190268071,2021-06-28 00:00:00,2022-01-04 00:00:00,190,22-Jan
src2190237834,2021-05-24 00:00:00,2022-01-05 00:00:00,226,22-Jan
src2190263028,2021-05-14 00:00:00,2022-01-05 00:00:00,236,22-Jan
src2090088597,2019-12-09 00:00:00,2022-01-05 00:00:00,758,22-Jan
src2190189507,2021-03-04 00:00:00,2022-01-05 00:00:00,307,22-Jan
src2190270780,2021-07-13 00:00:00,2022-01-05 00:00:00,176,22-Jan
src2190236251,2021-04-08 00:00:00,2022-01-05 00:00:00,272,22-Jan
src2190187770,2021-03-02 00:00:00,2022-01-05 00:00:00,309,22-Jan
src2190246261,2021-06-07 00:00:00,2022-01-05 00:00:00,212,22-Jan
src2190187769,2021-03-02 00:00:00,2022-01-05 00:00:00,309,22-Jan
src2190168796,2021-01-22 00:00:00,2022-01-05 00:00:00,348,22-Jan
src2190187536,2021-03-02 00:00:00,2022-01-05 00:00:00,309,22-Jan
src2190271132,2021-07-13 00:00:00,2022-01-05 00:00:00,176,22-Jan
src2190187531,2021-03-02 00:00:00,2022-01-05 00:00:00,309,22-Jan
src2190221713,2021-04-29 00:00:00,2022-01-05 00:00:00,251,22-Jan
src2190187764,2021-03-02 00:00:00,2022-01-05 00:00:00,309,22-Jan
src2190239136,2017-03-07 00:00:00,2022-01-05 00:00:00,1765,22-Jan
src2190187542,2021-03-02 00:00:00,2022-01-06 00:00:00,310,22-Jan
src2190255773,2021-06-22 00:00:00,2022-01-11 00:00:00,203,22-Jan
src2190278831,2021-07-23 00:00:00,2022-01-11 00:00:00,172,22-Jan
src2190150722,2020-12-24 00:00:00,2022-01-11 00:00:00,383,22-Jan
src2190297967,2021-08-20 00:00:00,2022-01-11 00:00:00,144,22-Jan
src2190183185,2021-02-23 00:00:00,2022-01-11 00:00:00,322,22-Jan
src2190144731,2020-12-09 00:00:00,2022-01-11 00:00:00,398,22-Jan
src2190221623,2021-04-29 00:00:00,2022-01-11 00:00:00,257,22-Jan
src2190230801,2021-05-13 00:00:00,2022-01-11 00:00:00,243,22-Jan
src2190152314,2020-12-29 00:00:00,2022-01-11 00:00:00,378,22-Jan
src2190153150,2020-12-28 00:00:00,2022-01-11 00:00:00,379,22-Jan
src2190190166,2021-03-08 00:00:00,2022-01-11 00:00:00,309,22-Jan
src2190190211,2021-03-08 00:00:00,2022-01-11 00:00:00,309,22-Jan
src2190205494,2021-04-01 00:00:00,2022-01-11 00:00:00,285,22-Jan
src2190301821,2021-08-27 00:00:00,2022-01-11 00:00:00,137,22-Jan
src2190218468,2021-04-22 00:00:00,2022-01-11 00:00:00,264,22-Jan
src2190145277,2020-12-09 00:00:00,2022-01-11 00:00:00,398,22-Jan
src2190279813,2021-07-26 00:00:00,2022-01-11 00:00:00,169,22-Jan
src2190243657,2021-06-02 00:00:00,2022-01-11 00:00:00,223,22-Jan
src2190191705,2021-03-09 00:00:00,2022-01-12 00:00:00,309,22-Jan
src2190109765,2020-11-09 00:00:00,2022-01-12 00:00:00,429,22-Jan
src2090037176,2019-10-25 00:00:00,2022-01-12 00:00:00,810,22-Jan
src2190229645,2021-05-11 00:00:00,2022-01-12 00:00:00,246,22-Jan
src2190107475,2020-11-09 00:00:00,2022-01-12 00:00:00,429,22-Jan
src2190297985,2021-08-20 00:00:00,2022-01-12 00:00:00,145,22-Jan
src2190158811,2021-01-11 00:00:00,2022-01-12 00:00:00,366,22-Jan
src2190255774,2021-06-22 00:00:00,2022-01-12 00:00:00,204,22-Jan
src2190166435,2021-01-20 00:00:00,2022-01-12 00:00:00,357,22-Jan
src2190265996,2021-07-07 00:00:00,2022-01-12 00:00:00,189,22-Jan
src2190297987,2021-08-20 00:00:00,2022-01-12 00:00:00,145,22-Jan
src2190279811,2021-07-26 00:00:00,2022-01-12 00:00:00,170,22-Jan
src2190233463,2021-05-14 00:00:00,2022-01-12 00:00:00,243,22-Jan
src2190303502,2021-08-30 00:00:00,2022-01-12 00:00:00,135,22-Jan
src2190297984,2021-08-20 00:00:00,2022-01-12 00:00:00,145,22-Jan
src2190106228,2020-11-09 00:00:00,2022-01-12 00:00:00,429,22-Jan
src2190195699,2021-03-15 00:00:00,2022-01-12 00:00:00,303,22-Jan
src2190098629,2020-11-02 00:00:00,2022-01-12 00:00:00,436,22-Jan
src2190298121,2021-08-20 00:00:00,2022-01-13 00:00:00,146,22-Jan
src2190245519,2021-06-04 00:00:00,2022-01-13 00:00:00,223,22-Jan
src2190183218,2021-02-23 00:00:00,2022-01-13 00:00:00,324,22-Jan
src2190271135,2021-07-13 00:00:00,2022-01-13 00:00:00,184,22-Jan
